"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"480","Robin Lopez","Cle","C","35","34","7.5","15.7","26.7","16","0.75","57","0.649","3","0.667","0.667","0.686","2.7","1.3","0.4","0","0.2","0.6","4","3.1","4.4","6","114","101.6"
"481","Rodney McGruder","Det","G","31.6","30","15.3","13.8","7","17","0.765","47","0.362","85","0.447","0.561","0.577","5.4","2","0.8","0.4","0","0.3","7.4","6.2","8.2","5.4","120.5","115.1"
"482","Romeo Langford","San","G-F","23.4","35","20.2","15.5","9.4","45","0.689","171","0.544","50","0.28","0.516","0.538","7.4","2.9","1.3","0.5","0.4","0.7","10.3","8.7","11.5","6","113.9","116.4"
"483","Ron Harper Jr.","Tor","F","22.9","4","3.5","21.1","0","0","0","3","0.667","4","0.5","0.714","0.714","2.5","0.5","0","0","0","0","3","2.5","3","0","",""
"484","Royce O'Neale","Bro","F","29.8","66","32.2","13.4","15.8","59","0.729","155","0.368","362","0.395","0.525","0.54","8.9","5","3.7","0.9","0.6","1.5","13.9","12.6","17.6","6.8","108.4","108.4"
"485","Rudy Gay","Uta","F-G","36.6","53","14.6","17.3","11.7","44","0.864","148","0.486","116","0.241","0.432","0.469","5","3","1","0.4","0.3","0.7","8","6","9","6.8","100.7","109.9"
"486","Rudy Gobert","Min","C","30.7","59","30.5","16.6","17.9","288","0.646","468","0.673","3","0","0.669","0.683","13.8","11.5","1","0.8","1.4","1.7","25.4","14.8","26.4","7.1","128.3","103.6"
"487","Rui Hachimura","Was","F","25.1","30","24.3","23.1","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.4","113"
"488","Rui Hachimura","Lal","F","25.1","23","23.5","17","6.1","48","0.729","132","0.53","53","0.358","0.532","0.563","10.1","4.5","0.6","0.3","0.3","0.5","14.6","10.7","15.2","5.1","114.8","114.2"
"489","Russell Westbrook","Lac","G","34.3","9","29.2","23.6","24","21","0.714","73","0.562","28","0.286","0.525","0.549","13.4","4.4","7.4","1.4","0.3","3.6","17.9","20.9","25.3","10.4","106.5","107.2"
"490","Russell Westbrook","Lal","G","34.3","52","28.7","28.8","20.2","238","0.655","516","0.467","213","0.296","0.46","0.496","15.9","6.2","7.5","1","0.4","3.6","22.1","23.4","29.6","12.6","100.7","106.9"
"491","Ryan Arcidiacono","Por","G","29","5","12.2","10.8","20","0","0","5","0.2","7","0.571","0.583","0.583","2.8","1.4","1.4","0.2","0","0.6","4.2","4.2","5.6","5.8","109.4","108.1"
"492","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"493","Ryan Rollins","Gol","G","20.7","12","5.2","26.1","43.9","6","1","11","0.364","9","0.333","0.425","0.508","1.9","1","0.5","0.1","0.1","1.3","2.9","2.4","3.4","7.6","70.1","102"
"494","Saben Lee","Phi","G","23.7","2","5.1","30.9","42.9","0","0","3","1","1","0","0.75","0.75","3","0","1","0.5","0","1.5","3","4","4","0","86.3","104.9"
"495","Saben Lee","Pho","G","23.7","20","14.6","18.2","19.2","47","0.766","65","0.415","19","0.368","0.446","0.53","5.6","1.9","2.7","0.7","0.1","1","7.4","8.2","10.1","8.4","112.9","107.9"
"496","Saddiq Bey","Det","F","23.9","52","28.8","21.2","8.2","209","0.861","313","0.46","293","0.345","0.488","0.552","14.8","4.7","1.6","1","0.2","1","19.5","16.4","21.1","6.7","114.8","115.7"
"497","Saddiq Bey","Atl","F","23.9","13","25.9","14.6","7.2","13","0.923","40","0.525","63","0.46","0.626","0.648","10.8","4","0.9","0.7","0.1","0.6","14.8","11.8","15.8","5.2","128.8","113.6"
"498","Sam Hauser","Bos","F","25.3","69","15.7","14.5","6.8","17","0.706","52","0.635","275","0.418","0.628","0.632","6.1","2.5","0.7","0.3","0.3","0.3","8.6","6.8","9.3","5.6","123.4","107.2"
"499","Sam Merrill","Cle","G","26.8","2","4.2","16","0","0","0","1","1","2","0","0.333","0.333","1","0","0","0","0","0","1","1","1","0","71","106.3"
"500","Sandro Mamukelashvili","San","F-C","23.8","7","19.9","17.4","13.4","15","0.6","22","0.364","23","0.391","0.478","0.504","7.4","6.4","1.3","0.3","0.1","1","13.9","8.7","15.1","7.9","110.1","108.9"
"501","Sandro Mamukelashvili","Mil","F-C","23.8","24","9.1","14.5","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.1","104.7"
"502","Santi Aldama","Mem","F-C","22.2","66","22","16.2","9.7","120","0.725","224","0.594","241","0.349","0.557","0.584","9.2","4.7","1.2","0.6","0.7","0.8","13.8","10.4","15.1","6.8","118.9","104.8"
"503","Scottie Barnes","Tor","F","21.6","67","35.3","20.5","13.3","225","0.773","701","0.499","202","0.297","0.487","0.526","15.7","7","4.8","1","0.8","2.1","22.7","20.6","27.5","9.2","112.8","112"
"504","Scotty Pippen Jr.","Lal","G","22.3","6","5.3","24.1","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.7","106.9"
"505","Serge Ibaka","Mil","F","33.5","16","11.6","16.1","16.9","13","0.615","36","0.556","18","0.333","0.537","0.553","4.1","2.8","0.3","0.1","0.4","0.7","6.9","4.4","7.1","5.2","105","101.6"
"506","Seth Curry","Bro","G","32.6","52","21.3","19.4","10.4","48","0.979","199","0.533","215","0.4","0.568","0.594","9.9","1.8","1.8","0.7","0.1","0.9","11.8","11.8","13.6","6","112.9","112.3"
"507","Shaedon Sharpe","Por","G","19.8","69","20.2","16.7","10.4","61","0.672","258","0.57","197","0.35","0.551","0.562","7.9","2.5","0.8","0.4","0.3","0.8","10.4","8.6","11.1","5","109.3","114.2"
"508","Shai Gilgeous-Alexander","Okc","G-F","24.7","59","35.6","32.7","12.4","627","0.906","1050","0.533","148","0.351","0.533","0.626","31.3","4.8","5.5","1.7","1","2.9","36","36.8","41.6","10.5","124.6","109.7"
"509","Shake Milton","Phi","G-F","26.5","65","20.3","18.4","15.2","100","0.84","294","0.537","128","0.406","0.559","0.597","8.6","2.5","2.7","0.3","0.2","1.2","11.1","11.3","13.8","7.6","117.1","110.1"
"510","Simone Fontecchio","Uta","F","27.3","40","12.1","19.8","12.7","34","0.794","66","0.439","120","0.325","0.47","0.503","5.1","1.4","0.7","0.3","0.2","0.7","6.4","5.7","7.1","5.7","102.2","113"
"511","Spencer Dinwiddie","Bro","G","29.9","15","35.4","24.4","14.4","80","0.8","125","0.496","95","0.295","0.473","0.533","18.1","4.1","7.8","1.3","0.4","2.5","22.2","25.9","30","9.4","111.5","111.1"
"512","Spencer Dinwiddie","Dal","G","29.9","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","121","113.5"
"513","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.5","111.6"
"514","Stanley Umude","Det","G","23.9","1","2.1","37.9","0","2","1","0","0","1","0","0","0.532","2","0","0","1","1","0","2","2","2","0","",""
"515","Stephen Curry","Gol","G","35","45","34.8","31.2","14.3","237","0.916","390","0.59","518","0.436","0.627","0.669","30.1","6.2","6.2","1","0.4","3.4","36.3","36.4","42.5","12.1","123.6","111.8"
"516","Sterling Brown","Lal","G-F","28.1","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","76.6","92.7"
