"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"574","Wenyen Gabriel","Lal","F","26","57","15.3","14.7","14.3","71","0.62","203","0.645","31","0.29","0.618","0.628","5.8","4.2","0.5","0.4","0.5","0.7","10.1","6.4","10.6","6","124.9","101.6"
"575","Wesley Matthews","Mil","G","36.4","41","15.4","10","11.3","20","0.85","25","0.4","100","0.33","0.476","0.508","3.3","2.2","0.5","0.4","0.2","0.4","5.5","3.8","6","4","109.5","105.6"
"576","Will Barton","Was","G","32.2","40","19.6","19.5","13.7","45","0.778","147","0.395","137","0.38","0.479","0.505","7.7","2.8","2.4","0.4","0.3","1.1","10.4","10.1","12.8","7.6","101.8","113.8"
"577","Will Barton","Tor","G","32.2","7","9.9","14.7","8.3","0","0","8","0.375","14","0.286","0.409","0.409","2.6","0.7","0.9","0.6","0.1","0.3","3.3","3.4","4.1","4.8","91.5","107.5"
"578","Willy Hernangomez","Nor","C-F","28.8","33","13.4","23.5","19.3","103","0.786","149","0.544","10","0.2","0.528","0.609","7.5","5.2","1","0.4","0.4","1.2","12.7","8.5","13.7","10.1","119","98.5"
"579","Xavier Tillman","Mem","F","24.2","50","17.8","13.8","12.5","75","0.547","216","0.62","15","0.267","0.606","0.608","6.4","4.7","1.5","0.9","0.4","0.7","11.1","7.9","12.6","8","127.9","103.9"
"580","Yuta Watanabe","Bro","G-F","28.4","47","17.5","13","8.5","41","0.756","88","0.568","115","0.461","0.638","0.656","6.2","2.6","0.9","0.4","0.3","0.4","8.7","7","9.6","5.6","128.2","110.6"
"581","Zach Collins","San","F-C","25.3","57","22.3","20.7","19.5","127","0.772","343","0.566","124","0.387","0.57","0.602","11.1","6.2","2.8","0.5","0.7","2","17.3","13.9","20.1","10.4","113.3","106.8"
"582","Zach LaVine","Chi","G-F","28","65","36.2","28.3","12.4","369","0.851","709","0.546","475","0.383","0.557","0.607","25.1","4.8","4","0.9","0.2","2.6","29.9","29.1","33.9","8.7","115.4","111"
"583","Zeke Nnaji","Den","F-C","22.2","44","13.3","14.6","11.6","54","0.667","107","0.692","45","0.289","0.615","0.634","5.1","2.3","0.3","0.3","0.4","0.5","7.4","5.3","7.6","4.6","126.9","104.7"
"584","Ziaire Williams","Mem","F","21.5","36","14.7","17.3","16.9","18","0.778","88","0.602","89","0.247","0.486","0.503","5.2","2.1","0.7","0.4","0.1","1","7.3","5.9","8","5.4","93.1","104.2"
"585","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.2","109"
